AUC	base_num	seq_id
0.7420634920634921	39	AC098709.3/37074-36935
0.5483193277310925	96	AAHY01047828.1/11585-11454
	90	U40654.1/2537-2662
	41	AJ224029.1/1-77
0.5458459979736575	89	AC110037.13/145188-145321
0.839366515837104	30	AF274027.1/835-900
0.5509868421052632	54	AC116119.12/257476-257604
	23	AJ010678.1/1-71
0.5333333333333333	23	AF357365.1/1-59
0.6000874125874126	74	AF357386.1/1-126
0.5212726600073991	104	K02060.1/2116-2255
0.5712719298245614	129	AJ278435.1/32194-32377
0.6417777777777778	95	BC056964.1/2999-3129
0.5389705882352941	353	CAAA01147445.1/22509-22096
	45	AF295529.1/5361-5441
	12	AC126934.4/111575-111495
0.6923387096774193	142	CAAA01081857.1/4337-4160
0.46561771561771564	61	AB022159.1/10119-10254
0.4802631578947368	84	AC115823.18/163775-163655
0.6011080332409972	38	AC079644.9/92689-92762
	54	AC152939.2/6387-6477
0.7407407407407408	33	U40654.1/2012-2080
	41	AC126934.4/123899-123813
0.7171052631578948	35	AB042809.1/5159-5089
0.5985849056603774	73	AF357384.1/1-128
	96	AY043296.2/3945-4089
0.6818181818181819	75	AF357390.1/1-120
0.604059652029826	241	Y13656.1/1406-1682
0.5807272727272726	105	AAHY01048392.1/24763-24623
0.590457804743519	86	AC149606.6/161836-161712
0.6430773974714771	116	BC055375.1/1-158
0.44617255504352277	307	AC119847.12/95090-94748
0.5340909090909092	102	CAAA01055262.1/2914-2772
	36	AB076245.1/1700-1771
0.5436274509803922	94	BC046478.1/316-447
0.4074626865671641	72	AC121317.7/68985-69092
	32	AJ543402.1/2-77
	40	U40654.1/1539-1614
0.5715898825654923	95	AC102547.8/25951-25815
0.2833333333333333	32	AF295529.1/6463-6530
0.556175047338523	342	AAHY01035212.1/17904-18281
0.7272727272727273	50	AC121835.2/151904-151989
0.4976598527083764	254	AF191547.1/2290-1993
0.06382978723404255	48	AJ224034.1/1-84
0.2857142857142857	48	AC147254.4/80430-80347
0.4428571428571429	34	AC155259.1/208125-208194
0.5069412521835065	295	M63671.1/163-493
0.5990899898887765	89	AC136636.6/172138-172014
0.6335937500000001	254	DQ285765.1/1-290
	38	AJ003043.1/58-131
	29	CAAA01155521.1/5239-5175
0.378099173553719	33	AC123851.4/99948-100029
0.5585714285714286	53	AF357420.1/1-122
0.6862745098039216	29	AB070266.1/1283-1347
0.5098039215686275	23	AC132367.3/116009-115932
0.5116959064327485	37	AC211878.4/9394-9321
0.37229437229437234	40	AC155259.1/207919-207994
0.7299168975069252	38	AC138288.13/11165-11238
	27	AJ003042.1/135-208
0.7282758620689656	54	AF357363.1/1-90
0.8350383631713555	97	AC155259.1/217782-217650
	29	U40654.1/1763-1827
	39	AC087898.19/20875-20801
	28	AJ010677.1/3-72
0.48717948717948717	40	AJ224035.1/1-76
	31	U40654.1/2265-2331
	36	AC135079.9/151986-151906
0.6599378881987578	81	AB020237.1/3193-3322
0.8571428571428571	31	AF288740.1/1291-1357
	48	AC152939.2/8747-8839
0.750601167983511	112	AC073153.16/108503-108650
	38	CAAA01055927.1/1000-927
0.5942796610169492	107	AB011595.1/4785-4927
0.5357142857142858	72	AC083892.19/144818-144933
	58	AF227523.1/526-433
	36	AC154727.2/126995-126920
0.7170329670329669	27	V00711.1/3842-3772
	33	AAHY01113754.1/39386-39310
0.5154711673699015	97	AB011595.1/3767-3910
